name,version,licenseType,sourceLink,description,tags
Eureka,1.1.146,Apache v2,https://github.com/Netflix/eureka,AWS Service registry for resilient mid-tier load balancing and failover. ,"service-registry,load-balancer"
ExpressionEvaluator,1,MIT,https://github.com/uklimaschewski/EvalEx,EvalEx is a handy expression evaluator for Java  that allows to evaluate simple mathematical and boolean expressions.,"java,expression"
express-react-views,0.7.2,BSD,https://github.com/reactjs/express-react-views,This is an Express view engine which renders React components on server. It renders static markup and *does not* support mounting those views on the client.,"ui,js,reactjs"
express-useragent,0.1.9,MIT,https://github.com/biggora/express-useragent,express-useragent is a simple NodeJS/ExpressJS user-agent middleware exposing user-agent details to your application and views. ,"nodejs,middleware"
express-ws,1.0.0-rc1,BSD,https://www.npmjs.com/package/express-ws,WebSocket endpoints for Express applications. Lets you define WebSocket endpoints like any other type of route  and applies regular Express middleware. The WebSocket support is implemented with the help of the ws library.,"nodejs,websocket"
Extend,1.2.1,MIT,https://www.npmjs.com/package/extend,Is a port of the classic extend() method from jQuery. It behaves as you expect. It is simple  tried and true. ,nodejs
Ext Flot,0.1,MIT,https://code.google.com/p/extflot/,Sencha Ext JS is the most comprehensive JavaScript framework for building data-intensive  cross-platform web and mobile applications for any modern device. Ext JS includes 115+ pre-integrated and tested high-performance UI components.Ext Flot is an extension of flot on Ext JS. It's a pure javascript implementation.,"js,ui,framework"
Ext.layout.HBoxSplitLayout,0.3,LGPL v3,https://www.sencha.com/forum/archive/index.php/t-65982.html,Sencha Ext JS is the most comprehensive JavaScript framework for building data-intensive  cross-platform web and mobile applications for any modern device. Ext JS includes 115+ pre-integrated and tested high-performance UI components.A layout that arranges items horizontally with a split bar between each item,"js,ui,framework"
Ext.ux.form.XDateField,471 2009-01-22,LGPL v3,http://examples.extjs.eu/docs/?class=Ext.ux.form.XDateField,Sencha Ext JS is the most comprehensive JavaScript framework for building data-intensive  cross-platform web and mobile applications for any modern device. Ext JS includes 115+ pre-integrated and tested high-performance UI components.Date field that supports submitFormat,"js,ui,framework"
Ext.ux.grid.RowActions,1,LGPL v3,http://rowactions.extjs.eu/,Sencha Ext JS is the most comprehensive JavaScript framework for building data-intensive  cross-platform web and mobile applications for any modern device. Ext JS includes 115+ pre-integrated and tested high-performance UI components.Row actions are small images  icons  optionally followed by a text  that fit into a grid column.,"js,ui,framework"
Ext.ux.grid.Search,728 2008-02-19,LGPL v3,http://extjs.eu/software/ext-grid-search-plugin/,This plugin makes any grid searchable by implementing user interface and search logic. User interface consists of the search field where user types the text to search for and the menu with field names to select where to search for the query.,"js,ui,search"
Ext.ux.layout.CardLayout,r5,LGPL v3,https://code.google.com/p/ext-ux-layout-cardlayout/source/browse/trunk/src/?r=5,A specific @link Ext.layout.CardLayout that only sets the active item if the 'beforehide'-method of the card to hide did not return false (in this case  components usually won't be hidden).,"js,ui,card"
Ext.ux.tree.TreeFilterX,1,LGPL v3,http://remotetree.extjs.eu,Sencha Ext JS is the most comprehensive JavaScript framework for building data-intensive  cross-platform web and mobile applications for any modern device.This extension helps to find all children in already loaded tree and show its parents regardless if they themselves match the filter expression or not.,"js,ui,tree"
fabric,1.0.4,Apache v2,https://github.com/hyperledger/fabric/tree/v1.0.4,Hyperledger Fabric delivers a uniquely elastic and extensible architecture  distinguishing it from alternative blockchain solutions. Planning for the future of enterprise blockchain requires building on top of a fully-vetted  open source architecture; Hyperledger Fabric is your starting point.,"blockchain,hyperledger"
fabric-ca,1.0.4,Apache v2,https://github.com/hyperledger/fabric-ca/tree/v1.0.4,The fabric is an implementation of blockchain technology  leveraging familiar and proven technologies. It is a modular architecture allowing pluggable implementations of various function. It features powerful container technology to host any mainstream language for smart contracts development.,"ca,hyperledger"
fabric-ca-client,1.0.2,Apache v2,https://www.npmjs.com/package/fabric-ca-client,The Hyperledger Fabric Client SDK makes it possible to use APIs to interact with a Hyperledger Fabric blockchain.,"ca,client,hyperledger"
fabric-client,1.0.2,Apache v2,https://www.npmjs.com/package/fabric-client,SDK for writing node.js applications to interact with Hyperledger Fabric.This package encapsulates the APIs to interact with Peers and Orderers of the Fabric network to install and instantiate chaincodes  send transaction invocations and perform chaincode queries.,"nodejs,hyperledger"
fabric-rest,1.0.0,Apache v2,https://github.com/Altoros/fabric-rest,The fabric is an implementation of blockchain technology  leveraging familiar and proven technologies. It is a modular architecture allowing pluggable implementations of various function. It features powerful container technology to host any mainstream language for smart contracts development.This server provides a convenient REST interface for web applications to transact on Hyperledger Fabric 1.x network. It uses Node.js SDK API to call peers  orderer and CA servers of network's members.,"nodejs,hyperledger"
falcon,0.8,Apache v2,http://www.us.apache.org/dist/falcon/0.8/apache-falcon-0.8-sources.tar.gz,Falcon is a feed processing and feed management system aimed at making it easier for end consumers to onboard their feed processing and feed management on hadoop clusters. ,"bigdata,feed"
fast-image-size,0.1.1,MIT,https://github.com/Ziv-Barber/fast-image-size,This module is a simple stand alone module to just extract the image size from image file without using special image libraries. ,"image,nodejs"
fbjs,0.6.1,BSD + FB Patents file,https://github.com/facebook/fbjs#readme,A collection of utility libraries used by other Facebook JS projects.,"js,utility"
fest-assert,1.4,Apache v2,http://mvnrepository.com/artifact/org.easytesting/fest-assert/1.4,'Flexible' or 'fluent' assertions for testing ,"test,assert"
FEST-Util,1.1.6,Apache v2,https://github.com/alexruiz/fest-util,Common utilities used in all FEST modules.,"test,utility"
fflip,2.1.0,MIT,https://www.npmjs.com/package/fflip,Advanced Feature Flipping/Toggling Across the Server and Client.Working on an experimental new design? Starting a closed beta? Rolling out a new feature over the next few weeks? Fa-fa-fa-flip it. fflip gives you complete control over releasing new functionality to your users based on their user id  join date  membership status  and whatever else you can think of. fflip's goal is to be the most powerful and extensible feature flipping/toggling module out there.,feature-flipping
FileMD5Hash,2.0.0.fw.1,Apache v2,https://github.com/FutureWorkshops/FileMD5Hash,Library for computing MD5 hashes of files with small memory usage on iOS and OS X ,"crypto,ios"
FindBugs,3.0.1,LGPL v2.1,http://findbugs.sourceforge.net/,Findbugs is a program which uses static analysis to look for bugs in Java code.,"java,static,code-analyser,annotation"
findbugs-annotations (LGPL),2.0.3,LGPL v2,https://repo1.maven.org/maven2/com/facebook/presto/. This is a dependency of Presto,This package is a dependency of Presto 0.111. It is an open source program created by Bill Pugh and David Hovemeyer which looks for bugs in Java code. It uses static analysis to identify hundreds of different potential types of errors in Java programs. Annotations is also named Findbugs.,"java,static,code-analyser,annotation"
FindBugs-jsr305,2.0.3,Apache v2 + CC v2.5,http://mvnrepository.com/artifact/com.google.code.findbugs/jsr305/2.0.3,JSR305  contains reference implementations  test cases  and other documents under source code control for Java Specification ,"java,code-analyser"
fixed-data-table,0.7.2,BSD + FB Patents file,http://schrodinger.github.io/fixed-data-table-2/,FixedDataTable is a React component for building and presenting data in a flexible  powerful way. It supports standard table features  like headers  columns  rows  header groupings  and both fixed-position and scrolling columns.A React table component designed to allow presenting thousands of rows of data.,"reactjs,ui,table"
Flann,1.8.4,BSD,https://github.com/mariusmuja/flann,FLANN is a library for performing fast approximate nearest neighbor searches in high dimensional spaces. FLANN is a library for performing fast approximate nearest neighbor searches in high dimensional spaces. It contains a collection of algorithms we found to work best for nearest neighbor search and a system for automatically choosing the best algorithm and optimum parameters depending on the dataset. FLANN is written in C++ and contains bindings for the following languages: C  MATLAB  Python  and Ruby.,"machine-learning,knn"
Flot,0.7,MIT,https://github.com/flot/flot/tree/v0.7,flot is a JavaScript plotting library for engineering and scientific applications derived from Flot: http://www.flotcharts.org/,"js,chart,ui"
flume,1.6.0,Apache v2,http://archive.apache.org/dist/flume/1.6.0/apache-flume-1.6.0-src.tar.gz,Flume is a distributed  reliable  and available service for efficiently collecting  aggregating  and moving large amounts of log data. ,"bigdata,log-aggregation"
Flux,2.1.1,BSD + FB Patents file,https://github.com/facebook/flux/releases,Flux is more of a pattern than a framework  and does not have any hard dependencies. However  we often use EventEmitter as a basis for Stores and React for our Views. The one piece of Flux not readily available elsewhere is the Dispatcher. This module  along with some other utilities  is available here to complete your Flux toolbox.,"reactjs,ui,flux,utility"
flux,3.1.2,BSD-equivalent,http://facebook.github.io/flux/ https://github.com/facebook/flux,Flux is more of a pattern than a framework  and does not have any hard dependencies. However  we often use EventEmitter as a basis for Stores and React for our Views. The one piece of Flux not readily available elsewhere is the Dispatcher. This module  along with some other utilities  is available here to complete your Flux toolbox.,"reactjs,ui,flux,utility"
flyway,1.7,Apache v2,http://search.maven.org/#artifactdetails%7Ccom.googlecode.flyway%7Cflyway-core%7C1.7%7Cjar,Flyway is an open-source database-migration tool.,"database,migration"
formidable (Node),1.2.1,MIT,https://github.com/felixge/node-formidable/tree/v1.2.1,A node.js module for parsing form data  especially file uploads.,"nodejs,form"
Fping,3.1,BSD,http://fping.org/,Sends ICMP echo packets to multiple hosts.fping is a program to send ICMP echo probes to network hosts  similar to ping  but much better performing when pinging multiple hosts. fping has a very long history: Roland Schemers did publish a first version of it in 1992 and it has established itself since then as a standard tool for network diagnostics and statistics.,"ping,network"
FRAME.H,c0f1ceb,LGPL v2,https://github.com/WebKit/webkit/blob/master/Source/WebCore/page/Frame.h,WebKit is a cross-platform web browser engine. On iOS and macOS  it powers Safari  Mail  iBooks  and many other applications.,"ios,ui"
Franca,0.9.2,EPL,https://code.google.com/a/eclipselabs.org/p/franca/,Franca is a powerful framework for definition and transformation of software interfaces. It is used for integrating software components from different suppliers  which are built based on various runtime frameworks  platforms and IPC mechanisms. The core of it is Franca IDL (Interface Definition Language)  which is a textual language for specification of APIs. ,"eclipse,framework"
Freehep,2.4 (subset),LGPL v2.1,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.freehep/freehep-graphics2d/2.4/,The goal of the FreeHEP library is to encourage the sharing and reuse of Java code in High Energy Physics. Although some of the code is fairly specific to HEP  other code is more generic and could be used by anyone. To maximize reuse we strive to keep the dependencies between various packages in the FreeHEP library to a minimum  so you can use which ever parts interest you without being forced to use the entire library.,"java,library"
Gant,1.9.6,Apache v2,https://github.com/Gant/Gant/releases,Gant -- A Groovy way of scripting Ant tasks.Gant is a lightweight dependency programming framework for Groovy and Java systems.,"dependency,framework,java"
gbench-0.4.3-groovy,2.4,Apache v2,http://central.maven.org/maven2/org/gperfutils/gbench/0.4.3-groovy-2.4/gbench-0.4.3-groovy-2.4.jar,Benchmarking framework for groovy.,"groovy,framework"
GDal,1.8.0,MIT,ftp://ftp.remotesensing.org/gdal/ ,The Open Source Geospatial Foundation (OSGeo) is a not-for-profit organization whose mission is to foster global adoption of open geospatial technology by being an inclusive software foundation devoted to an open philosophy and participatory community driven development.,geospatial
GDaL,1.9.2,MIT + LGPL v2.1,Homepage:http://www.osgeo.org/,The Open Source Geospatial Foundation (OSGeo) is a not-for-profit organization whose mission is to foster global adoption of open geospatial technology by being an inclusive software foundation devoted to an open philosophy and participatory community driven development.,geospatial
geopandas,0.3.0,BSD,https://pypi.org/project/geopandas/0.3.0/#files,The goal of GeoPandas is to make working with geospatial data in python easier. It combines the capabilities of pandas and shapely  providing geospatial operations in pandas and a high-level interface to multiple geometries to shapely. GeoPandas enables you to easily do operations in python that would otherwise require a spatial database such as PostGIS.,"geospatial,pandas,python"
geopy,1.11.0,MIT,https://pypi.python.org/pypi/geopy,geopy is a Python 2 and 3 client for several popular geocoding web services.geopy makes it easy for Python developers to locate the coordinates of addresses  cities  countries  and landmarks across the globe using third-party geocoders and other data sources.,"geospatial,python"
GeoTools,10 beta,LGPL v2.1,http://sourceforge.net/projects/geotools/files/GeoTools%2010%20Releases/10.0-beta/,Java Toolkit for working with and mapping geospatial data,"geospatial,python"
geronimo-j2ee-management,1.1_spec-1.0.1,Apache v2,https://geronimo.apache.org,Apache Geronimo is an open source server runtime that integrates the best open source projects to create Java/OSGi server runtimes that meet the needs of enterprise developers and system administrators.,"application-server,runtime"
geronimo-jms_1.1_spec,1.1.1,Apache v1.1,http://search.maven.org/#artifactdetails|org.apache.geronimo.specs|geronimo-jms_1.1_spec|1.1.1|jar,Dependency of Openjpa (Java Persistence),"jms,messaging,spec"
geronimo-jpa 2.0 spec 1.1,1.1,Apache v1.1,http://search.maven.org/#artifactdetails%7Corg.apache.geronimo.specs%7Cgeronimo-jpa_2.0_spec%7C1.1%7Cbundle,Dependency of Openjpa (Java Persistence),"jpa,spec"
geronimo-jta 1.1 spec 1.1,1.1,Apache v1.1,http://search.maven.org/#artifactdetails%7Corg.apache.geronimo.specs%7Cgeronimo-jta_1.1_spec%7C1.1%7Cjar,Dependency of Openjpa (Java Persistence),"java,jta,spec"
GetID3,04/02/16,LGPL v3,This package is included in Wordpress 4.3  which is available from https://wordpress.org/download/release-archive/. The download has a folder called wp-includes\ID3 that contains the following files.,getID3() is a PHP script that extracts useful information (such as ID3 tags  bitrate  playtime  etc.) from MP3s & other multimedia file formats ,"multimedia,extraction"
Gmock,0.8.0,Apache v2,https://code.google.com/p/gmock/downloads/detail?name=gmock-0.8.0-all.zip&can=2&q=,Gmock is a mocking framework for the Groovy language. Gmock is all about simple syntax and readability of your tests so you spend less time learning the framework and more writing code. To use Gmock just drop the gmock jar file in your classpath. ,"test,framework,groovy"
go-binddata-assetfs,57eb5e1,BSD,download location :https://github.com/elazarl/go-bindata-assetfs/archive/57eb5e1fc594ad4b0b1dbea7b286d299e0cb43c2.tar.gz,Serves embedded files from  jteeuwen/go-bindata  with  net/http .This package converts any file into managable Go source code. Useful for embedding binary data into a go program. The file data is optionally gzip compressed before being converted to a raw byte slice.  It comes with a command line tool in the go-bindata sub directory. This tool offers a set of command line options  used to customize the output being generated.,"go,cli"
gobject-introspection,1.56.1,LGPL v2,https://gitlab.gnome.org/GNOME/gobject-introspection/tree/14ff69f032c603e6100728088ebbda19fd44db8a,GObject introspection is a middleware layer between C libraries (using GObject) and language bindings. The C library can be scanned at compile time and generate metadata files  in addition to the actual native C library. Then language bindings can read this metadata and automatically provide bindings to call into the C library.,"c,bindings"
go-checkpoint,e4b2dc3,MPL v2.0,https://github.com/hashicorp/go-checkpoint/archive/e4b2dc34c0f698ee04750bf2035d8b9384233e1b.tar.gz,Checkpoint is an internal service at Hashicorp that is used to check version information  broadcoast security bulletins  etc.,"go,security,broadcast"
go-cleanhttp,5df5ddc,MPL v2.0,https://github.com/hashicorp/go-cleanhttp/archive/5df5ddc69534f1a4697289f1dca2193fbb40213f.tar.gz,Functions for accessing clean Go http.Client values ,"go,http,client"
go-dockerclient,02a8beb,BSD,https://github.com/fsouza/go-dockerclient/archive/02a8beb401b20e112cff3ea740545960b667eab1.tar.gz,This package presents a client for the Docker remote API. It also provides support for the extensions in the Swarm API.  This package also provides support for dockers network API  which is a simple passthrough to the libnetwork remote API.,"go,docker,client"
go-immutable-radix,12e9005,MPL v2.0,https://github.com/hashicorp/go-immutable-radix/archive/12e90058b2897552deea141eff51bb7a07a09e63.tar.gz,Provides the iradix package that implements an immutable radix tree. The package only provides a single Tree implementation  optimized for sparse nodes.  ,"go,tree,immutable"
go-isatty,56b76bd,MIT,Source URL:https://github.com/mattn/go-isatty/archive/56b76bdf51f7708750eac80fa38b952bb9f32639.tar.gz,isatty for golang,"go,tty"
golang-lru,a6091bb,MPL v2.0,https://github.com/hashicorp/golang-lru/archive/a6091bb5d00e2e9c4a16a0e739e306f8a3071a3c.tar.gz,This provides the lru package which implements a fixed-size thread safe LRU cache.,"go,cache"
gomdb,151f2e0,BSD,https://github.com/hashicorp/golang-lru/archive/a6091bb5d00e2e9c4a16a0e739e306f8a3071a3c.tar.gz,Go wrapper for OpenLDAP Lightning Memory-Mapped Database (LMDB). Read more about LMDB here: http://symas.com/mdb/,"go,database,openldap"
go-memdb,31949d5,MPL v2.0,Source URL:https://github.com/hashicorp/go-memdb/archive/31949d523ade8a236956c6f1761e9dcf902d1638.tar.gz,Golang in-memory database built on immutable radix trees,"go,database,immutable"
go-metrics,6c5fa0d,MIT,https://github.com/armon/go-metrics/archive/6c5fa0d8f48f4661c9ba8709799c88d425ad20f0.tar.gz,A Golang library for exporting performance and runtime metrics to external metrics systems (i.e. statsite  statsd),"go,library,metrics,performance"
go-msgpack,fa3f638,BSD,https://github.com/hashicorp/go-msgpack/archive/fa3f63826f7c23912c15263591e65d54d080b458.tar.gz,Collection of Open-Source Go libraries and tools. One of them is Codec  a High Performance and Feature-Rich Idiomatic encode/decode and rpc library for msgpack and Binc. ,"go,library,encode,decode,rpc"
go-multierror,d30f099,MPL v2.0,https://github.com/hashicorp/go-multierror/archive/d30f09973e19c1dfcd120b2d9c4f168e68d6b5d5.tar.gz,A Go (golang) package for representing a list of errors as a single error.,"go,error,package"
Google Ads API Client Library,2.8.0,Apache v2,https://github.com/googleads/googleads-java-lib ,Java client library for the various SOAP-based ads APIs (AdWords and Ad Manager) at Google.,"java,client,library,google"
google-guice-assistedinject,4,Apache v2,http://mvnrepository.com/artifact/com.google.inject.extensions/guice-assistedinject/4.0,an easier way to get Guice to build auto-wired factories.Factories are a well established pattern for creating value objects  model/domain objects (entities)  or objects that combine parameterization and dependencies. Factories can be brittle and contain a lot of boilerplate. Guice can eliminate a lot of that boilerplate by auto-generating Factory implementations from simple interfaces.,"google,factory,framework"
Google Web Components,1.0.1,BSD,https://github.com/GoogleWebComponents/google-web-components,Addition for UX Framework.  A collection of web components for Google APIs & services.,"rest,google,framework"
Google Web Toolkit (GWT),2.7.0,Apache v2,http://www.gwtproject.org/,GWT is a development toolkit for building and optimizing complex browser-based applications. GWT is used by many products at Google  including Google AdWords and Google Wallet. The GWT SDK provides a set of core Java APIs and Widgets. These allow you to write AJAX applications in Java and then compile the source to highly optimized JavaScript that runs across all browsers  including mobile browsers for Android and the iPhone.,"google,library,ajax"
go-radix,fbd82e8,MIT,https://github.com/armon/go-radix/archive/fbd82e84e2b13651f3abc5ffd26b65ba71bc8f93.tar.gz,Golang implementation of Radix trees,"go,tree,immutable"
go-reap,2d85522,MPL v2.0,Source URL:https://github.com/hashicorp/go-reap/archive/2d85522212dcf5a84c6b357094f5c44710441912.tar.gz,Provides a super simple set of functions for reaping child processes. This is useful for running applications as PID 1 in a Docker container.,"go,docker"
Gpars,1.2.1,Apache v2,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.codehaus.gpars/gpars/1.2.1/,The GPars framework offers Java developers intuitive and safe ways to handle Java or Groovy tasks concurrently.,"java,groovy,framework,concurrency"
gperftools,2.4,BSD-equivalent,https://code.google.com/p/gperftools/ ,gperftools is a collection of a high-performance multi-threaded malloc() implementation  plus some pretty nifty performance analysis tools.,"performance,metrics,concurrency"
gprof-0.3.1-groovy,2.4,Apache v2,http://central.maven.org/maven2/org/gperfutils/gprof/0.3.1-groovy-2.4/gprof-0.3.1-groovy-2.4.jar,Profiling module for Groovy ,"performance,metrics,groovy"
gptfdisk,1.0.1,GPL v2,http://www.rodsbooks.com/gdisk/  package download: http://www.rodsbooks.com/gdisk/gptfdisk-1.0.1.tar.gz,GPT fdisk is a disk partitioning tool loosely modeled on Linux fdisk  but used for modifying GUID Partition Table (GPT) disks. The related FixParts utility fixes some common problems on Master Boot Record (MBR) disks.,"disk,partition,tool"
Gradle,2.4,Apache v2,https://gradle.org/,Gradle is a build tool with a focus on build automation and support for multi-language development. If you are building  testing  publishing  and deploying software on any platform  Gradle offers a flexible model that can support the entire development lifecycle from compiling and packaging code to publishing web sites. Gradle has been designed to support build automation across multiple languages and platforms including Java  Scala  Android  C/C++  and Groovy  and is closely integrated with development tools and continuous integration servers including Eclipse  IntelliJ  and Jenkins.,"ci-cd,automation"
Grails,2.4.5,Apache v2,https://github.com/grails/grails-core/releases/tag/v2.4.5,Grails is a powerful web application framework  for the Java platform aimed at multiplying developers productivity thanks to a Convention-over-Configuration  sensible defaults and opinionated APIs. It integrates smoothly with the JVM  allowing you to be immediately productive whilst providing powerful features  including integrated ORM  Domain-Specific Languages  runtime and compile-time meta-programming and Asynchronous programming. Grails  dramatically reduces the complexity of building web applications on the Java platform,"java,web,framework,groovy"
Grails Data Mapping (GORM),3.1.4,Apache v2,https://github.com/grails/grails-data-mapping/releases,GORM - Groovy Object Mapping. [Grails][Grails] is a framework used to build web applications with the [Groovy][Groovy] programming language. This project provides the plumbings for the GORM API both for Hibernate and for new implementations of GORM ontop of NoSQL datastores. ,"nosql,groovy,framework,orm"
Grails gdoc engine,1.0.1,Apache v2,https://github.com/grails/grails-gdoc-engine/releases,Grails documentation generator engine,"documentation,grails"
Grails-Plugin-cache-ehcache,1.0.5,Apache v2,https://grails.org/plugin/cache-ehcache,An Ehcache-based implementation of the Grails Cache plugin ,"grails,cache"
GrailsPlugin-release,3.1.1,Apache v2,https://grails.org/plugin/release,Allows you to publish Grails plugins  either to a public or private repository. It also supports deploying Grails applications and plugins to Maven repositories without the need to use Maven directly. ,"grails,plugin,release"
GrailsPlugin-rest-client-builder,2.1.1,Apache v2,https://grails.org/plugin/rest-client-builder,Grails REST Client Builder Plugin.Provides an alternative REST client implementation based on Spring's RestTemplate that is not tied to commons-http-client,"grails,rest,plugin"
Grails-Plugin-Spring-Events,1.2,Apache v2,http://repo.grails.org/grails/webapp/#/artifacts/browse/tree/General/plugins/org/grails/plugins/spring-events/1.2,Provides asynchronous Spring application event processing for Grails applications ,"async,spring,event,grails"
GrailsPlugin-spring-security-core,2.0rc4,Apache v2,http://grails.org/plugin/spring-security-core,Grails Spring Security Core plugin .The Spring Security plugin simplifies the integration of Spring Security into Grails applications. The plugin provides sensible defaults with many configuration options for customization. Nearly everything is configurable or replaceable in the plugin and in Spring Security itself  which makes extensive use of interfaces.,"grails,security,plugin,spring"
GrailsPlugin-spring-security-oauth2-provider,2.0rc2,Apache v2,http://grails.org/plugin/spring-security-oauth2-provider,OAuth2 Provider support for the Spring Security plugin. ,"grails,auth,plugin,spring,security"
Grails-Plugin-webxml,1.4.1,Apache v2,https://grails.org/plugin/webxml,Add additional Features to your web.xml   such as Filters  Config Listeners or Context Paramet for the groovy web application,"grails,xml,plugin"
Grails Quartz,1.0.2,Apache v2,https://grails.org/plugin/quartz,Quartz plugin allows Grails application to schedule jobs to be executed using a specified interval or cron expression ,"grails,cron"
graphql,0.7.2,BSD + FB Patents file,https://www.npmjs.com/package/graphql,The JavaScript reference implementation for GraphQL  a query language for APIs created by Facebook.,"js,graphql"
gremlin-console,3.0.1-incubating,Apache v2,http://central.maven.org/maven2/org/apache/tinkerpop/gremlin-console/3.0.1-incubating/gremlin-console-3.0.1-incubating.jar,The Gremlin Console is an interactive terminal or REPL that can be used to traverse graphs and interact with the data that they contain. It represents the most common method for performing ad-hoc graph analysis  small to medium sized data loading projects and other exploratory functions. The Gremlin Console is highly extensible  featuring a rich plugin system that allows new tools  commands  DSLs  etc. to be exposed to users. ,"gremlin,cli,graph,traversal"
gremlin-core,3.0.1-incubating,Apache v2,http://repo1.maven.org/maven2/org/apache/tinkerpop/gremlin-core/3.0.1-incubating/gremlin-core-3.0.1-incubating-sources.jar,The Primary Components Of TinkerPop3 ,graph-computing
gremlin-driver,3.0.1-incubating,Apache v2,http://repo1.maven.org/maven2/org/apache/tinkerpop/gremlin-driver/3.0.1-incubating/gremlin-driver-3.0.1-incubating.jar,Connect To Gremlin Server With Java,graph-computing
gremlin-groovy,3.0.1-incubating,Apache v2,http://repo1.maven.org/maven2/org/apache/tinkerpop/gremlin-groovy/3.0.1-incubating/gremlin-groovy-3.0.1-incubating.jar,Gremlin For The Groovy Language ,graph-computing
gremlin-server,3.0.1-incubating,Apache v2,http://repo1.maven.org/maven2/org/apache/tinkerpop/gremlin-server/3.0.1-incubating/gremlin-server-3.0.1-incubating.jar,Gremlin On The Server ,graph-computing
gremlin-shaded,3.0.1-incubating,Apache v2,http://repo1.maven.org/maven2/org/apache/tinkerpop/gremlin-shaded/3.0.1-incubating/gremlin-shaded-3.0.1-incubating.jar,Module of Tinkerpop that contains shaded dependencies for some libraries that are widely used and tend to introduce conflicts. ,graph-computing
Griddle,0.2.15,MIT,https://github.com/GriddleGriddle/Griddle/tree/v0.2.15,Grid layout with drag-and-drop for React.,ui
GRMustache,7.3.2.,MIT,Homepage: https://github.com/groue/GRMustache,GRMustache is a Mustache template engine written in Objective-C  for both MacOS Cocoa and iOS.  It ships with built-in goodies and extensibility hooks that let you avoid the strict minimalism of the genuine Mustache language when you need it.,ios
Groovy,2.3.9,Apache v2,http://www.groovy-lang.org/index.html,File copying and manipulation used for deploying the IAP web application.,"java,oops"
guava,13.0.1,Apache v2,Download location - https://github.com/google/guava/archive/v13.0.1.tar.gz,Guava is a set of core libraries that includes new collection types (such as multimap and multiset)  immutable collections  a graph library  and utilities for concurrency  I/O  hashing  primitives  strings  and more!,"graph-library,java,library"
Guice,4,Apache v2,https://github.com/google/guice/releases,Guice helps you design better APIs. Guice aims to make development and debugging easier and faster  not harder and slower. ,java
Guiders.js,2.0.0,Apache v2,https://github.com/jeff-optimizely/Guiders-JS/tree/master,Guiders are a user experience design pattern for introducing users to a web application. ,"java,web-app"
gwt-exporter,2.5.1,Apache v2,https://code.google.com/p/gwt-exporter/,Enables calls from external JavaScript code into GWT code libraries,js
GWTx,1.5.2,Apache v2,http://code.google.com/p/gwtx,Augments GWT to provide support for an extended set of Java library classes,js
gzip nicklockwood,1.1.1,Zlib/libpng,https://github.com/nicklockwood/GZIP,A simple NSData category for gzipping/unzipping data in iOS and Mac OS,"ios,compression"
Hadoop,2.7.2,Apache v2,https://github.com/apache/hadoop/archive/release-2.7.2tar.gz,The Apache Hadoop software library is a framework that allows for the distributed processing of large data sets across clusters of computers using simple programming models. It is designed to scale up from single servers to thousands of machines  each offering local computation and storage. Rather than rely on hardware to deliver high-availability  the library itself is designed to detect and handle failures at the application layer  so delivering a highly-available service on top of a cluster of computers  each of which may be prone to failures. Yes  see spreadsheet.,bigdata
HAProxy,1.7,GPL v2,https://github.com/docker-library/haproxy,Yes - GPL license,"ha,c"
hashmap,2.0.1,MIT,https://github.com/flesler/hashmap,This project provides a HashMap class that works both on Node.js and the browser. HashMap instances store key/value pairs allowing keys of any type. ,java
HawtBuf,1.1,Apache v2,http://grepcode.com/snapshot/repo1.maven.org/maven2/org.fusesource.hawtbuf/hawtbuf/1.10,The simple  modern and productive way to build apps and infrastructure.,maven
HawtJNI,1.8,Apache v2,https://github.com/fusesource/hawtjni/releases,HawtJNI is a code generator that produces the JNI code needed to implement java native methods.,java
hbase,1.1.1,Apache v2,http://hbase.apache.org/,see http://hbase.apache.org/,bigdata
HBase,1.2 RC1,Apache v2,https://github.com/apache/hbase/archive/1.2.0RC1.tar.gz,Apache HBase  is the Hadoop database  a distributed  scalable  big data store. ,bigdata
hcl,4de5195,MPL v2.0,https://github.com/hashicorp/hcl/archive/4de51957ef8d4aba6e285ddfc587633bbfc7c0e8.tar.gz,HCL (HashiCorp Configuration Language) is a configuration language built by HashiCorp. The goal of HCL is to build a structured configuration language that is both human and machine friendly for use with command-line tools  but specifically targeted towards DevOps tools  servers  etc.,cli
hcl,e96d231,MPL v2.0,Download location - https://github.com/hashicorp/hcl/archive/e96d23138c76470c808bf6586bdaf981bbd25cae.tar.gz,HCL (HashiCorp Configuration Language) is a configuration language built by HashiCorp. The goal of HCL is to build a structured configuration language that is both human and machine friendly for use with command-line tools  but specifically targeted towards DevOps tools  servers  etc.,"cli,devops,tool"
hcsshim,0.7.6,MIT,https://github.com/Microsoft/hcsshim/releases/tag/v0.7.6,This package contains the Golang interface for using the Windows Host Compute Service (HCS) to launch and manage Windows Containers,"windows,docker"
helmet,1.1.0,MIT,https://github.com/helmetjs/helmet,Help secure Express apps with various HTTP headers ,"js,security"
Hibernate-commons-annotations,4.0.5.Final,LGPL v2.1,https://bintray.com/bintray/jcenter/org.hibernate.common%3Ahibernate-commons-annotations/4.0.5.Final/view#files,object relational mapping annotations,orm
